image_id,FG,FR,MG,MR,total_count
W20100703,4,1,112,14,131
W20101006,8,0,54,1,63
W20101105,3,1,6,0,10
W20110607,24,0,44,0,68
W20111302,7,0,88,0,95
W20120705,0,0,35,1,36
W21121104,7,0,76,1,84
W21122002,4,0,36,0,40
W21131302,3,0,38,6,47
W21131702,1,0,73,0,74
W22072805,9,1,4,6,20
W22072806,6,0,20,10,36
W22072905,22,0,16,38,76
W22072907,14,0,40,25,79
W22080302,4,0,4,6,14
W22080304,7,0,13,1,21
W22080401,6,0,14,3,23
W22080404,7,0,14,13,34
W22101004,9,0,38,5,52
W22101006,10,0,50,5,65
W22101201,14,5,65,14,98
W22101207,10,0,38,10,58
W22101506,8,0,80,34,122
W22101609,12,0,5,3,20
W22101712,5,2,49,9,65
W22110202,4,0,23,11,38
W22110306,7,1,39,8,55
W22110406,4,2,30,14,50
W22110708,1,0,9,5,15
W22110905,4,2,20,5,31
W22111307,3,0,86,11,100
W22120307,1,0,70,9,80
W22120401,4,0,23,17,44
W22120403,3,0,25,8,36
W22120501,2,0,94,27,123
W22120607,12,4,47,4,67
W22120709,7,3,17,5,32
W22121104,7,0,28,33,68
W22121210,1,1,71,25,98
W22121303,4,0,30,9,43
W22130314,11,0,46,21,78
W22130511,9,9,26,6,50
W22130902,6,1,72,21,100
W22131004,1,0,26,38,65
W22131301,5,0,58,19,82
W23011106,20,0,16,11,47
W23011108,12,0,27,2,41
W23021108,19,0,73,2,94
W23041207,4,0,29,8,41
W24022702,0,0,6,3,9
W24030104,1,0,14,4,19
W24031604,1,1,14,8,24
W24042701,1,0,7,0,8
W24080701,1,1,2,5,9
W24080803,1,0,15,5,21
W24082303,3,1,16,1,21
W2420058,1,0,8,2,11
W2420073,1,0,3,0,4
W2423004,0,0,8,1,9
W2423006,0,0,6,0,6
